word,meaning,sentence,translation
exercise,運動,I do exercise every morning.,私は毎朝運動します。
exercise,（―s）練習,These exercises are easy.,これらの練習は簡単です。
exercise,運動する,I exercise regularly.,私は定期的に運動します。
exercise,～を行使する,He exercised his right.,彼は権利を行使しました。
breathe,呼吸する，息をする,It is hard to breathe here.,ここでは息をするのが難しいです。
thirsty,のどが渇いた,I am thirsty after running.,走った後でのどが渇いています。
thirsty,（for ～）（～を）切望して,He is thirsty for success.,彼は成功を切望しています。
physical,身体的な,Physical health is important.,身体の健康は重要です。
physical,物理的な,Physical laws explain nature.,物理法則は自然を説明します。
fever,（体温の）熱,I have a fever.,熱があります。
fever,熱狂,The game caused fever among fans.,その試合はファンの熱狂を引き起こしました。
strength,（physical ―）体力,Exercise builds physical strength.,運動は体力をつけます。
strength,力,Knowledge is strength.,知識は力です。
tear,（通例 ―s）涙〈可算〉,Tears fell from her eyes.,彼女の目から涙が流れました。
tear,（up）～を引き裂く,He tore up the paper.,彼は紙を引き裂きました。
taste,～の味がする,This cake tastes good.,このケーキはおいしい味がします。
taste,～の味をみる,She tasted the soup.,彼女はスープの味をみました。
taste,味,I like the taste of coffee.,私はコーヒーの味が好きです。
taste,好み,Everyone has different tastes.,人にはそれぞれ好みがあります。
rule,規則,We must follow the rules.,私たちは規則に従わなければなりません。
rule,～を支配する,The king ruled the country.,王は国を支配しました。
role,役割,He plays an important role.,彼は重要な役割を果たします。
habit,習慣，癖,Reading is my habit.,読書は私の習慣です。
custom,習慣,This is a local custom.,これは地元の習慣です。
custom,（―s）税関、関税,We passed through customs.,私たちは税関を通りました。
tradition,伝統,This tradition is old.,この伝統は古いです。
society,社会〈不可算〉,We live in society.,私たちは社会で暮らしています。
society,（ある具体的な）社会〈可算〉,Modern society has problems.,現代社会には問題があります。
society,（one's ―）～と同席すること,I enjoyed his society.,私は彼と一緒にいることを楽しみました。
society,協会,She joined a sports society.,彼女はスポーツ協会に入りました。
law,（the ―）（集合的に）法律，国法,Everyone must obey the law.,誰もが法律に従わなければなりません。
law,（個々の）法律,This law protects children.,この法律は子どもを守ります。
law,（科学などの）法則,The law of gravity is famous.,重力の法則は有名です。
ancestor,祖先,My ancestors lived here.,私の祖先はここに住んでいました。
population,人口，個体数,The population is increasing.,人口が増えています。
population,（一定の地域に住む）住民,The city has a large population.,その都市には多くの住民がいます。
native,母国の，その土地の,This is my native language.,これは私の母国語です。
native,（ある土地の）生まれの人,He is a native of Japan.,彼は日本生まれの人です。
abroad,海外へ，海外で,She went abroad to study.,彼女は勉強のため海外へ行きました。
local,その土地の，地元の,I like local food.,私は地元の食べ物が好きです。
local,地方の,The local government helped us.,地方政府が私たちを助けました。
local,地元の人,The locals know this place well.,地元の人々はこの場所をよく知っています。
survey,調査〈可算〉,We conducted a survey.,私たちは調査を行いました。
survey,～を調査する,They surveyed the area.,彼らはその地域を調査しました。
value,価値,This painting has great value.,この絵には大きな価値があります。
value,（―s）価値観,Our values are different.,私たちの価値観は異なります。
value,お買い得品〈不可算〉,This product is good value.,この商品はお買い得です。
value,～を重んじる,I value friendship.,私は友情を大切にします。
treasure,財宝，宝,They found buried treasure.,彼らは埋められた宝を見つけました。
treasure,大事な物［人］,My family is my treasure.,家族は私の大切なものです。
treasure,（思い出など）を大事にする,I treasure these memories.,私はこれらの思い出を大事にしています。
fashion,流行,Fashion changes quickly.,流行はすぐ変わります。
fashion,流儀，やり方,This is a new fashion of thinking.,これは新しい考え方です。
fashion,（手などで）～を作る,He fashioned a toy from wood.,彼は木からおもちゃを作りました。
public,（the ―）大衆,The public wants change.,大衆は変化を望んでいます。
public,公共の，公の,This is a public park.,これは公共の公園です。
evidence,証拠〈不可算〉,There is no evidence.,証拠はありません。
vote,投票（数),He got many votes.,彼は多くの票を得ました。
vote,投票する,People voted for him.,人々は彼に投票しました。
government,政府,The government made a decision.,政府は決定をしました。
nation,国家,Japan is an island nation.,日本は島国です。
nation,（the ―)国民,The nation celebrated the victory.,国民は勝利を祝いました。
capital,首都,Tokyo is the capital of Japan.,東京は日本の首都です。
capital,資本,The company needs more capital.,会社はもっと資本が必要です。
capital,重大な，死に値する,It was a capital mistake.,それは重大な間違いでした。
state,州,California is a state in the US.,カリフォルニアはアメリカの州です。
state,状態,The machine is in good state.,その機械は良い状態です。
state,国家,The state controls the system.,国家がその制度を管理しています。
state,（意見，情報）を述べる,He stated his opinion.,彼は意見を述べました。
political,政治的な，政治の,This is a political issue.,これは政治問題です。
price,価格,The price is too high.,価格が高すぎます。
price,（―s）物価,Prices are rising.,物価が上がっています。
price,代償,Success has a price.,成功には代償があります。
sum,（修飾語を伴って）金額,The total sum is large.,合計金額は大きいです。
sum,合計,The sum is ten dollars.,合計は10ドルです。
sum,（簡単な）計算,I did the sum quickly.,私は計算をすぐしました。
sum,（up）～を要約する,Please sum up the story.,その話を要約してください。
budget,予算,We have a limited budget.,私たちには限られた予算があります。
budget,安い,This is a budget hotel.,これは安いホテルです。
fee,（会費，遊園地などの）料金,There is an entrance fee.,入場料があります。
fee,（専門職への）謝礼,I paid a lawyer's fee.,弁護士費用を払いました。
fare,運賃,The bus fare increased.,バス運賃が上がりました。
bill,勘定,Please pay the bill.,勘定を払ってください。
bill,請求書,I received a bill.,請求書を受け取りました。
bill,〈米〉紙幣,He paid with a ten-dollar bill.,彼は10ドル紙幣で払いました。
bill,法案,The bill became law.,その法案は法律になりました。
trade,貿易,International trade is important.,国際貿易は重要です。
trade,（the ～ trade）～業,He works in the car trade.,彼は自動車業界で働いています。
trade,商売,Trade is growing.,商売は成長しています。
trade,～を交換する,They traded cards.,彼らはカードを交換しました。
wealth,富，財産〈不可算〉,He has great wealth.,彼は大きな富を持っています。
wealth,（a ― of ～）豊富な～,The library has a wealth of information.,その図書館には豊富な情報があります。
economy,経済,The economy is improving.,経済は改善しています。
economy,節約,We need to practice economy.,私たちは節約を実践する必要があります。
cost,（費用）を要する，～がかかる,The book costs ten dollars.,その本は10ドルかかります。
cost,～を犠牲にする,The mistake cost him his job.,その間違いは彼に仕事を失わせました。
cost,費用，犠牲,The cost is too high.,費用が高すぎます。
company,会社,She works for a company.,彼女は会社で働いています。
company,（one's ―）一緒にいること,I enjoyed your company.,あなたと一緒にいて楽しかったです。
company,仲間,He likes the company of friends.,彼は友達との付き合いが好きです。
company,来客,We have company tonight.,今夜来客があります。
task,仕事〈可算〉,I finished my task.,私は仕事を終えました。
earn,（金）を稼ぐ，もうける,He earns a lot of money.,彼はたくさんのお金を稼ぎます。
earn,（評判など）を得る,She earned respect.,彼女は尊敬を得ました。
hurt,（身体の部位が）痛む,My leg hurts.,足が痛みます。
hurt,（身体，感情）を傷つける,His words hurt me.,彼の言葉は私を傷つけました。
injure,～を痛める,He injured his arm.,彼は腕を痛めました。
injure,～をけがさせる,The accident injured many people.,その事故は多くの人をけがさせました。
damage,～に損害を与える,The storm damaged the house.,嵐は家に損害を与えました。
damage,損害，被害〈不可算〉,The damage was serious.,被害は深刻でした。
damage,（―s）賠償金,He paid damages.,彼は賠償金を払いました。
destroy,～を（完全に）破壊する,The fire destroyed the building.,火事は建物を完全に破壊しました。
destroy,～を殺す，全滅させる,The disease destroyed many plants.,その病気は多くの植物を全滅させました。
ruin,～を台無しにする,The rain ruined our trip.,雨は私たちの旅行を台無しにしました。
ruin,～を破滅させる,The mistake ruined his life.,その間違いは彼の人生を破滅させました。
ruin,（―s）廃墟，荒廃,We visited ancient ruins.,私たちは古代の遺跡を訪れました。
danger,危険,This road is dangerous.,この道は危険です。
neighbor,近所の人,My neighbor is friendly.,私の近所の人は親切です。
neighbor,（a next-door ―）隣の人,I talked with my next-door neighbor.,私は隣の人と話しました。
audience,聴衆，観客,The audience enjoyed the show.,観客はショーを楽しみました。
crowd,群衆,A crowd gathered there.,群衆がそこに集まりました。
author,著者,The author wrote this book.,その著者はこの本を書きました。
author,（主に文学作品の）作家,She is a famous author.,彼女は有名な作家です。
staff,（集合的に）職員，従業員,The staff are helpful.,職員は親切です。
clerk,〈米〉店員,The clerk helped me.,店員が私を助けました。
clerk,事務員，社員,He works as a clerk.,彼は事務員として働いています。
customer,客,The customer bought a product.,その客は商品を買いました。
passenger,乗客,The passengers got on the train.,乗客は電車に乗りました。
elderly,年配の,He cares for elderly people.,彼は年配の人々を世話しています。
elderly,（the ―）（総称的に）年配の人々,The elderly need support.,高齢者には支援が必要です。
female,女性の,The female student won.,その女子生徒は勝ちました。
female,（動物）雌の,The female bird is small.,その雌鳥は小さいです。
female,女性，雌,The female works hard.,その女性は一生懸命働きます。
head,向かう,We headed home.,私たちは家へ向かいました。
head,～を率いる,She heads the team.,彼女はチームを率いています。
follow,～の後について行く，～に続く,Follow me.,私についてきてください。
follow,（忠告，方針など）に従う,You should follow the rules.,規則に従うべきです。
wander,歩き回る，さまよう,He wandered around the city.,彼は街を歩き回りました。
travel,旅行する，移動する,I like to travel.,私は旅行するのが好きです。
travel,（光，音などが）進む,Sound travels fast.,音は速く進みます。
pass,～を通り過ぎる,I passed the station.,私は駅を通り過ぎました。
pass,～を抜く,He passed me on the road.,彼は道で私を抜きました。
pass,（試験）に受かる,She passed the exam.,彼女は試験に受かりました。
pass,（（人）A）（人）に（A を）渡す,Please pass me the salt.,塩を渡してください。
pass,（時が）過ぎる ⑥通行証,Time passes quickly.,時間は早く過ぎます。
likely,（to do）～しそうだ，可能性が高い,He is likely to win.,彼は勝ちそうです。
likely,おそらく,It will likely rain.,おそらく雨が降るでしょう。
natural,当然の,It is natural to worry.,心配するのは当然です。
natural,自然の,I love natural beauty.,私は自然の美しさが好きです。
natural,生まれながらの,She has natural talent.,彼女には生まれながらの才能があります。
certain,確かな,I am certain of it.,私はそれを確信しています。
certain,（名詞の前で）ある～,A certain person called me.,ある人が私に電話しました。
probably,おそらく,He will probably come.,彼はおそらく来ます。
face,～に直面する,We face many problems.,私たちは多くの問題に直面しています。
face,〈方向〉～向きである,The house faces the sea.,その家は海に面しています。
face,顔，体面、文字盤,I washed my face.,私は顔を洗いました。
avoid,～を避ける,I avoid eating too much sugar.,私は砂糖を食べすぎることを避けています。
solve,～を解決する,We need to solve this problem.,私たちはこの問題を解決する必要があります。
trouble,問題，ごたごた（通例〈不可算〉),He is in trouble.,彼は困っています。
trouble,～を困らせる,Don't trouble yourself.,自分を困らせないでください。
issue,問題,This is an important issue.,これは重要な問題です。
issue,（雑誌の）号,I read the latest issue.,私は最新号を読みました。
issue,（切手など）を発行する,The government issued new stamps.,政府は新しい切手を発行しました。
cheer,（on）～に声援を送る,We cheered on our team.,私たちはチームに声援を送りました。
cheer,（up）～を励ます,I cheered him up.,私は彼を励ましました。
cheer,声援，励まし,Her cheer helped me.,彼女の励ましが私を助けました。
cheer,（―s）乾杯,We made cheers at the party.,私たちはパーティーで乾杯しました。
encourage,（A to do）（A）に（～するよう）促す，奨励する,My teacher encouraged me to study.,先生は私に勉強するよう促しました。
encourage,～を励ます,She encouraged her friend.,彼女は友達を励ましました。
support,～を支持する,I support your idea.,私はあなたの考えを支持します。
support,（家族など）を養う,He supports his family.,彼は家族を養っています。
support,（理論など）を立証する,The facts support the theory.,事実はその理論を立証します。
support,支持，支援<不可算>,Thank you for your support.,あなたの支援に感謝します。
prevent,（A from B）（AがBするの）を妨げる,The rain prevented us from going out.,雨は私たちが外出するのを妨げました。
prevent,～を予防する,Exercise prevents disease.,運動は病気を予防します。
deny,～を否定する,He denied the rumor.,彼はうわさを否定しました。
deny,〈SVO1O2〉（O1）に（O2を）与えない,They denied him permission.,彼らは彼に許可を与えませんでした。
enable,（A to do）（A）に［が］（～することを）可能にする,This tool enables us to work faster.,この道具は私たちがより速く働くことを可能にします。
succeed,（in ～）（～に）成功する,She succeeded in business.,彼女は仕事で成功しました。
succeed,（to ～）（家業などを）継ぐ,He succeeded to the family business.,彼は家業を継ぎました。
miss,～を逃す,I missed the train.,私は電車に乗り遅れました。
miss,～を休む,She missed school yesterday.,彼女は昨日学校を休みました。
miss,～を恋しく思う,I miss my family.,私は家族が恋しいです。
fail,（in［at］～）（～に）失敗する,He failed in the exam.,彼は試験に失敗しました。
fail,（to do）～できない,I failed to understand.,私は理解できませんでした。
fail,（試験）に落ちる,She failed the test.,彼女はテストに落ちました。
fail,（人）に役に立たない,The plan failed us.,その計画は私たちの役に立ちませんでした。
mistake,間違い,I made a mistake.,私は間違いをしました。
mistake,（A for B）（A）を（B と）間違える,I mistook him for his brother.,私は彼を兄弟と間違えました。
check,～を調べる,Please check the answer.,答えを確認してください。
check,～を阻止する,The police checked the crime.,警察は犯罪を防ぎました。
check,小切手,I paid by check.,私は小切手で支払いました。
check,勘定書,Can I have the check?,勘定書をお願いします。
check,検査，点検 ⑥抑制,The machine needs a check.,その機械は点検が必要です。
hide,～を隠す,He hid the key.,彼は鍵を隠しました。
hide,隠れる,The cat hid under the table.,猫は机の下に隠れました。
draw,（線で絵など）を描く,She drew a picture.,彼女は絵を描きました。
draw,（注意）を引く,The story drew attention.,その話は注目を集めました。
draw,～を引っ張る，集める,He drew the curtain.,彼はカーテンを引きました。
join,（クラブ，団体など）に加わる,I joined the club.,私はクラブに加わりました。
join,～をつなぐ,I joined the two pieces together.,私は2つの部分をつなぎました。
join,（食事などを）～とともにする,Can you join us for dinner?,夕食を一緒にしませんか。
join,（議論，活動などに）参加する,She joined the discussion.,彼女は議論に参加しました。
throw,～を投げる,He threw the ball.,彼はボールを投げました。
throw,（away［out］）～を捨てる,Please throw away the trash.,ごみを捨ててください。
throw,（パーティなど）を催す,They threw a party.,彼らはパーティーを開きました。
throw,投げること,He made a good throw.,彼は良い投球をしました。
operate,（機械など）を操作する,He operates the machine.,彼は機械を操作します。
operate,手術する,The doctor operated on him.,医者は彼を手術しました。
operate,（機械などが）作動する，（組織が）運営される,The system operates well.,そのシステムはうまく作動します。
repair,～を修理する,I repaired my bike.,私は自転車を修理しました。
repair,～を修復する,They repaired the old building.,彼らは古い建物を修復しました。
repair,修理，修復,The repair was expensive.,修理は高価でした。
sew,～を縫う,She sewed a dress.,彼女はドレスを縫いました。
sew,（on）（ボタンなど）を縫いつける,She sewed on a button.,彼女はボタンを縫いつけました。
raise,～を上げる,Please raise your hand.,手を上げてください。
raise,（子ども，作物）を育てる,They raise children.,彼らは子どもを育てます。
raise,（お金，資金）を集める,We raised money for charity.,私たちは慈善活動のためにお金を集めました。
raise,（問題）を提起する,He raised an important question.,彼は重要な問題を提起しました。
raise,賃上げ，昇給,She got a raise.,彼女は昇給しました。
serve,（飲食物）を出す,They served dinner.,彼らは夕食を出しました。
serve,～に役立つ,This information serves us well.,この情報は私たちに役立ちます。
serve,役立つ,The tool serves a purpose.,その道具は役立ちます。
pour,～を注ぐ,She poured some water.,彼女は水を注ぎました。
pour,降りそそぐ,Rain poured down.,雨が降りそそぎました。
spill,～をこぼす,I spilled coffee.,私はコーヒーをこぼしました。
spill,（石油などの）流出,The oil spill caused damage.,石油流出は被害を引き起こしました。
pretend,（to do / that SV）（～する/ ～である）ふりをする,He pretended to be asleep.,彼は眠っているふりをしました。
behave,ふるまう,Please behave yourself.,行儀よくしてください。
bear,（can ―）～に耐える,I can't bear the pain.,私はその痛みに耐えられません。
bear,～を持つ、運ぶ,The tree bears fruit.,その木は実をつけます。
bear,～を産む,The animal bears young.,その動物は子を産みます。
explore,～を探検する，（街など）を探索する,We explored the city.,私たちは街を探索しました。
explore,（問題など）を探る,They explored the problem.,彼らはその問題を探りました。
happen,（to ～）（～に）起こる,What happened to him?,彼に何が起こりましたか。
happen,（to do）偶然～する,I happened to meet her.,私は偶然彼女に会いました。
appear,現れる,A star appeared in the sky.,空に星が現れました。
appear,（to be ～）～のように思える,He appears to be happy.,彼は幸せそうに見えます。
remain,～のままでいる,Please remain calm.,落ち着いたままでいてください。
remain,残る,Only one question remains.,質問が1つ残っています。
survive,生き残る,Few people survived.,ほとんどの人は生き残りませんでした。
survive,～から生き延びる，～の後も存続する,He survived the accident.,彼は事故から生き延びました。
belong,（to ～）（～に）所属している,I belong to this club.,私はこのクラブに所属しています。
represent,～を代表する,She represents our team.,彼女は私たちのチームを代表しています。
represent,（記号など）が～を表す,This symbol represents peace.,この記号は平和を表します。
represent,～を表現する,The painting represents beauty.,その絵は美しさを表現しています。
base,～の基礎を置く,The movie is based on a true story.,その映画は実話に基づいています。
base,基礎（の部分），基盤,Trust is the base of friendship.,信頼は友情の基盤です。
base,基地,The army built a base.,軍は基地を建設しました。
include,～を含む,The price includes tax.,価格には税金が含まれています。
contain,～を含む,This box contains books.,この箱には本が入っています。
contain,（主に否定で）～を抑える,He couldn't contain his anger.,彼は怒りを抑えられませんでした。
own,（所有格の後で）,I met my own teacher.,私は自分の先生に会いました。
own,自分自身の,This is my own idea.,これは私自身の考えです。
own,（名詞的に）自分自身のもの,I want my own.,私は自分自身のものが欲しいです。
own,～を所有している,They own a house.,彼らは家を所有しています。
share,～を共有する,We share a room.,私たちは部屋を共有しています。
share,（考えなど）を（人に）伝える,She shared her idea with me.,彼女は考えを私に伝えました。
share,共有,We shared our experiences.,私たちは経験を共有しました。
share,分け前,He got his share.,彼は自分の分け前を得ました。
collect,（同種の物）を集める,He collects stamps.,彼は切手を集めています。
collect,～を徴収する，回収する,The teacher collected the papers.,先生は紙を回収しました。
gather,～を集める,She gathered information.,彼女は情報を集めました。
gather,集まる,People gathered in the park.,人々は公園に集まりました。
history,歴史,I study history.,私は歴史を勉強します。
history,履歴，前歴，病歴,The doctor checked my medical history.,医者は私の病歴を確認しました。
subject,科目,My favorite subject is English.,私の好きな科目は英語です。
subject,話題,The subject of the meeting was important.,会議の話題は重要でした。
subject,被験者,The subject joined the experiment.,被験者は実験に参加しました。
subject,（be ― to ～）～を受けやすい,Children are subject to illness.,子どもは病気にかかりやすいです。
education,教育,Education is important for everyone.,教育は誰にとっても重要です。
knowledge,知識，知っていること,He has a lot of knowledge.,彼は多くの知識を持っています。
uniform,制服,Students wear uniforms.,生徒は制服を着ます。
uniform,同一の，一定の,The temperature is uniform.,温度は一定です。
grade,（小，中，高の）学年,She is in the sixth grade.,彼女は6年生です。
grade,等級,This product is high grade.,この製品は高品質です。
grade,成績,I got a good grade.,私は良い成績を取りました。
senior,（高校，大学の）最上級生,He is a senior in college.,彼は大学4年生です。
senior,高齢者の,This service helps senior people.,このサービスは高齢者を助けます。
senior,（地位が）上位の,She is my senior at work.,彼女は職場で私より上位です。
graduate,（from ～）（～を）卒業する,I will graduate from college.,私は大学を卒業します。
decide,（to do）（～すること）を決定する，決心する,I decided to study abroad.,私は留学することを決めました。
decide,（on ～）（～を）決める,We decided on a plan.,私たちは計画を決めました。
judge,～を判断する,Do not judge people quickly.,人をすぐ判断してはいけません。
judge,裁判官，審判（員）,The judge made a decision.,裁判官は決定をしました。
quit,～を（完全に）やめる,He quit smoking.,彼は喫煙をやめました。
retire,（from ～）（～を）引退する，退職する,My father retired from his job.,父は仕事を退職しました。
review,再検討,We need a review of the plan.,計画の再検討が必要です。
review,（新聞などの）批評,I read a movie review.,私は映画批評を読みました。
review,復習,I do a review before the test.,テスト前に復習します。
choose,～を選ぶ,Choose the best answer.,最も良い答えを選んでください。
choose,選ぶ,You can choose freely.,自由に選べます。
imagine,～を想像する,I can imagine the future.,私は未来を想像できます。
guess,～を推測する,Can you guess the answer?,答えを推測できますか。
guess,推測,That is just a guess.,それはただの推測です。
expect,～を予期する,I expect good results.,私は良い結果を予期しています。
expect,（A of［from］ B）（B にA）を期待する,I expect help from him.,私は彼からの助けを期待しています。
expect,（be ―ing）（～を）身ごもっている,She is expecting a baby.,彼女は赤ちゃんを身ごもっています。
expect,はも可,I expect him to come.,私は彼が来ると思っています。
predict,～を予測する,Scientists predict the weather.,科学者は天気を予測します。
remember,（doing）（過去にしたこと）を覚えている,I remember meeting her.,私は彼女に会ったことを覚えています。
remember,（to do）（～すること）を覚えている,Remember to lock the door.,ドアに鍵をかけるのを覚えていてください。
remember,（me to ～）（～に）よろしく伝える,Remember me to your family.,ご家族によろしく伝えてください。
remind,（A of B）（A）に（B のこと）を思い出させる,This song reminds me of my childhood.,この歌は私に子ども時代を思い出させます。
remind,（（人）to do）（人）に～するように念を押す,Please remind me to call him.,彼に電話するよう念を押してください。
realize,～を（はっきり）理解する,I realized my mistake.,私は自分の間違いに気づきました。
realize,（夢，計画など）を実現する,She realized her dream.,彼女は夢を実現しました。
appreciate,～を（正しく）理解する,I appreciate your situation.,私はあなたの状況を理解しています。
appreciate,～のよさがわかる,I appreciate art.,私は芸術のよさがわかります。
